# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,3.167266845703124896e-03,1.339625864073748731e-09
2.000000000000000000e+04,4.902343750000001318e-03,1.614413603050316108e-09
3.000000000000000000e+04,6.580200195312500139e-03,1.864561871375120640e-09
4.000000000000000000e+04,8.523559570312500347e-03,2.268581896292436518e-09
5.000000000000000000e+04,9.948272705078127151e-03,2.481677966538325971e-09
6.000000000000000000e+04,1.178024291992187632e-02,2.882737751489949174e-09
7.000000000000000000e+04,1.367263793945312778e-02,3.334406493341947964e-09
8.000000000000000000e+04,1.513992309570312729e-02,3.602245125439350098e-09
9.000000000000000000e+04,1.657501220703125333e-02,3.857599417515152643e-09
1.000000000000000000e+05,1.822738647460937778e-02,4.231567028812133798e-09
2.000000000000000000e+05,3.247390747070313249e-02,6.694540883374686087e-09
3.000000000000000000e+05,4.500137329101562556e-02,8.604436803163131144e-09
4.000000000000000000e+05,5.620239257812500305e-02,1.011589000873689246e-08
5.000000000000000000e+05,6.444686889648437722e-02,1.068599013314668789e-08
6.000000000000000000e+05,7.236236572265625222e-02,1.121220436597123920e-08
7.000000000000000000e+05,8.008346557617188055e-02,1.178256340719876112e-08
8.000000000000000000e+05,8.671798706054686945e-02,1.205596895027196516e-08
9.000000000000000000e+05,9.191268920898437722e-02,1.196174945534240079e-08
1.000000000000000000e+06,9.752227783203126776e-02,1.221494979066544321e-08
1.100000000000000000e+06,1.032508850097656194e-01,1.238804991478328176e-08
1.200000000000000000e+06,1.056826782226562567e-01,1.195397906728144063e-08
1.300000000000000000e+06,1.108636474609374922e-01,1.205523341191480487e-08
1.400000000000000000e+06,1.145799255371093839e-01,1.195175488858677172e-08
1.500000000000000000e+06,1.184545898437499994e-01,1.195459967593745491e-08
1.600000000000000000e+06,1.190452575683593750e-01,1.142610717943801742e-08
1.700000000000000000e+06,1.235484313964843595e-01,1.146748821901830453e-08
1.800000000000000000e+06,1.270166015624999978e-01,1.144390699608791041e-08
1.900000000000000000e+06,1.265794372558593783e-01,1.084810810336775533e-08
2.000000000000000000e+06,1.300798034667968728e-01,1.078303961427853106e-08
2.200000000000000000e+06,1.357228088378906183e-01,1.073462483836521850e-08
2.400000000000000000e+06,1.374978637695312700e-01,1.004339975862982003e-08
2.600000000000000000e+06,1.425581359863281328e-01,1.001785934723821576e-08
3.000000000000000000e+06,1.466935729980468894e-01,9.211778367598943856e-09
4.000000000000000000e+06,1.575442504882812456e-01,7.958618463226244407e-09
5.000000000000000000e+06,1.665904235839843761e-01,7.118391749539423770e-09
6.000000000000000000e+06,1.703160095214843739e-01,6.197137117676854520e-09
7.000000000000000000e+06,1.720997619628906183e-01,5.429107489881268012e-09
8.000000000000000000e+06,1.748440551757812489e-01,4.897007425441210109e-09
9.000000000000000000e+06,1.772262573242187611e-01,4.436954683464453500e-09
1.000000000000000000e+07,1.759840393066406383e-01,3.967099250812047601e-09
