# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,3.907318115234375763e-03,2.296103702618019507e-09
2.000000000000000000e+04,4.517517089843750902e-03,1.486093603034691879e-09
3.000000000000000000e+04,6.701812744140625555e-03,2.019217259001522874e-09
4.000000000000000000e+04,8.446960449218750625e-03,2.394692635125527948e-09
5.000000000000000000e+04,1.019866943359375167e-02,2.741980072507925361e-09
6.000000000000000000e+04,1.193908691406250257e-02,3.152311556526141038e-09
7.000000000000000000e+04,1.361877441406250319e-02,3.489024863818909825e-09
8.000000000000000000e+04,1.553985595703125284e-02,3.946960703274412241e-09
9.000000000000000000e+04,1.731735229492187625e-02,4.330205487679911463e-09
