# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,5.653228759765625139e-03,3.983633313914702440e-09
2.000000000000000000e+04,1.114074707031250180e-02,7.163109251763974504e-09
3.000000000000000000e+04,1.626586914062500000e-02,1.023377956086359548e-08
4.000000000000000000e+04,2.161254882812500139e-02,1.357513822164211715e-08
5.000000000000000000e+04,2.660232543945312972e-02,1.627530163019786807e-08
6.000000000000000000e+04,3.167846679687499889e-02,1.916852156874859450e-08
7.000000000000000000e+04,3.641250610351562389e-02,2.179580614145523321e-08
8.000000000000000000e+04,4.118911743164062333e-02,2.465542968402103885e-08
9.000000000000000000e+04,4.573944091796874889e-02,2.697512853969591248e-08
1.000000000000000000e+05,5.075195312499999889e-02,2.954136108052982333e-08
2.000000000000000000e+05,9.214385986328124667e-02,4.908445993048354847e-08
3.000000000000000000e+05,1.274179077148437367e-01,6.343297286258395664e-08
4.000000000000000000e+05,1.567805480957031317e-01,7.265222983030189377e-08
5.000000000000000000e+05,1.818089294433593572e-01,7.868836267332348255e-08
6.000000000000000000e+05,2.021611022949218739e-01,8.148892426915128175e-08
7.000000000000000000e+05,2.212145996093750067e-01,8.429257912339421850e-08
8.000000000000000000e+05,2.359883117675781461e-01,8.451476452332289880e-08
9.000000000000000000e+05,2.492834472656250133e-01,8.430733616866076673e-08
1.000000000000000000e+06,2.617131042480468905e-01,8.426615222981945793e-08
1.100000000000000000e+06,2.722644042968749845e-01,8.337093542206332411e-08
1.200000000000000000e+06,2.816462707519531428e-01,8.216865208937602579e-08
1.300000000000000000e+06,2.890760803222656161e-01,8.029395133215807922e-08
1.400000000000000000e+06,2.969366455078125133e-01,7.926960868821198187e-08
1.500000000000000000e+06,3.029905700683593328e-01,7.721895105365828558e-08
1.600000000000000000e+06,3.091651916503906916e-01,7.578595503131534740e-08
1.700000000000000000e+06,3.157841491699218683e-01,7.438426433027247059e-08
1.800000000000000000e+06,3.203366088867187211e-01,7.265739007165938302e-08
1.900000000000000000e+06,3.245307922363280806e-01,7.084990275959835939e-08
2.000000000000000000e+06,3.286361694335937500e-01,6.914649824840615870e-08
2.200000000000000000e+06,3.370869445800780961e-01,6.643813719947288061e-08
2.400000000000000000e+06,3.419586181640624778e-01,6.284958922760848806e-08
2.600000000000000000e+06,3.492709350585937456e-01,6.080074964882525801e-08
3.000000000000000000e+06,3.572215270996093595e-01,5.554075208069494410e-08
4.000000000000000000e+06,3.742549133300780984e-01,4.594824300283793453e-08
5.000000000000000000e+06,3.843492126464843617e-01,3.911950427631887261e-08
6.000000000000000000e+06,3.923490905761718439e-01,3.399748864985296803e-08
7.000000000000000000e+06,3.960520935058593484e-01,2.983073756629460686e-08
8.000000000000000000e+06,4.008856201171875355e-01,2.680457361857502610e-08
9.000000000000000000e+06,4.037525939941405961e-01,2.423095480516246650e-08
1.000000000000000000e+07,4.053408813476562234e-01,2.201701165327930373e-08
