# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,3.108062744140624965e-03,1.425524256656365574e-09
2.000000000000000000e+04,5.326843261718750347e-03,1.831115719604644623e-09
3.000000000000000000e+04,8.102722167968749722e-03,2.724238822573101850e-09
4.000000000000000000e+04,1.058578491210937847e-02,3.576694716543219165e-09
5.000000000000000000e+04,1.294891357421875180e-02,4.233222124376064119e-10
6.000000000000000000e+04,1.539764404296875208e-02,4.891174177044966108e-09
7.000000000000000000e+04,1.743652343750000389e-02,5.257068192134085372e-09
8.000000000000000000e+04,2.013427734375000666e-02,6.211298548953685387e-09
9.000000000000000000e+04,2.198013305664062861e-02,6.508254746333982264e-09
1.000000000000000000e+05,2.470916748046875222e-02,7.289821205791849507e-09
2.000000000000000000e+05,4.297943115234375416e-02,1.111987466796064566e-08
3.000000000000000000e+05,6.045135498046875361e-02,1.485127394139155014e-08
4.000000000000000000e+05,7.494415283203126332e-02,1.711083712097848437e-08
5.000000000000000000e+05,8.658096313476562611e-02,1.805160955718127658e-08
6.000000000000000000e+05,9.858337402343750333e-02,1.965883411760069210e-08
7.000000000000000000e+05,1.074276733398437517e-01,2.013294940549638631e-08
8.000000000000000000e+05,1.142982482910156194e-01,1.997854071972571049e-08
9.000000000000000000e+05,1.214410400390625033e-01,2.021595128593303254e-08
1.000000000000000000e+06,1.258308410644531361e-01,1.970339330625024862e-08
1.100000000000000000e+06,1.323327636718749922e-01,1.977793196013642753e-08
1.200000000000000000e+06,1.392083740234374978e-01,2.001144458173075244e-08
1.300000000000000000e+06,1.457723999023437522e-01,2.023485006348672813e-08
1.400000000000000000e+06,1.489575195312499989e-01,1.953831230749036987e-08
1.500000000000000000e+06,1.525671386718750189e-01,1.922948038509901685e-08
1.600000000000000000e+06,1.555445861816406317e-01,1.880259840729628296e-08
1.700000000000000000e+06,1.605639648437500178e-01,1.886794248217882762e-08
1.800000000000000000e+06,1.669056701660156516e-01,1.889171292548880377e-08
1.900000000000000000e+06,1.651963806152343950e-01,1.797568911056710010e-08
2.000000000000000000e+06,1.673971557617187356e-01,1.764504847422869245e-08
2.200000000000000000e+06,1.733592224121093817e-01,1.712748858734760948e-08
2.400000000000000000e+06,1.806677246093750244e-01,1.682875472457078557e-08
2.600000000000000000e+06,1.844055175781249833e-01,1.622927613712110933e-08
3.000000000000000000e+06,1.862655639648437278e-01,1.457185488392597632e-08
4.000000000000000000e+06,2.015498352050781317e-01,1.259594783596787503e-08
5.000000000000000000e+06,2.095898437500000044e-01,1.091812998800486267e-08
6.000000000000000000e+06,2.187161254882812322e-01,9.812476239343153467e-09
7.000000000000000000e+06,2.148625183105468683e-01,8.371706556814660030e-09
8.000000000000000000e+06,2.207174682617187578e-01,7.641440485402216181e-09
9.000000000000000000e+06,2.225978088378905984e-01,6.948982187214328006e-09
1.000000000000000000e+07,2.281256103515624800e-01,6.475904046013110620e-09
