# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,2.305908203125000069e-03,5.935075437768722997e-10
2.000000000000000000e+04,2.480010986328125017e-03,3.342842806590139121e-10
3.000000000000000000e+04,2.224884033203125035e-03,1.994893016912456583e-10
4.000000000000000000e+04,2.509918212890625139e-03,1.972626007836132173e-10
5.000000000000000000e+04,3.173980712890624861e-03,2.478054076613780360e-10
6.000000000000000000e+04,3.174133300781250156e-03,2.227364610654926361e-10
7.000000000000000000e+04,3.299713134765625000e-03,2.074348243825311420e-10
8.000000000000000000e+04,2.881927490234375069e-03,1.537732929827635047e-10
9.000000000000000000e+04,3.647613525390625173e-03,2.151762048021515552e-10
