# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,1.221893310546875305e-02,1.705615355236695807e-10
2.000000000000000000e+04,1.217681884765625146e-02,2.103977577359068504e-10
3.000000000000000000e+04,1.449737548828125208e-02,3.058194651187045328e-10
4.000000000000000000e+04,1.745880126953125097e-02,4.367307516244741883e-10
5.000000000000000000e+04,1.985748291015625167e-02,5.401451474144346642e-10
6.000000000000000000e+06,2.273910522460937528e-02,1.033649444580078145e-10
