# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,6.972656249999999688e-03,5.716515140478139641e-09
2.000000000000000000e+04,7.757720947265625382e-03,4.103512628323661784e-09
3.000000000000000000e+04,8.548583984375000139e-03,3.865024160652978320e-09
4.000000000000000000e+04,9.568939208984375208e-03,3.781996590832300321e-09
5.000000000000000000e+04,1.108306884765625222e-02,4.107736448786649114e-09
6.000000000000000000e+04,1.279724121093750271e-02,4.547857145089249116e-09
7.000000000000000000e+04,1.456405639648437715e-02,5.028216873338751327e-09
8.000000000000000000e+04,1.564605712890625167e-02,4.934993091639089453e-09
9.000000000000000000e+04,1.749069213867187819e-02,5.516156259016826764e-09
1.000000000000000000e+05,1.922500610351562597e-02,5.965787357507284771e-09
1.100000000000000000e+05,2.078216552734375028e-02,6.329829152654011050e-09
1.200000000000000000e+05,2.234893798828125125e-02,6.638509742562042374e-09
1.300000000000000000e+05,2.377426147460937750e-02,6.842983132964781956e-09
1.400000000000000000e+05,2.543029785156250208e-02,7.283823574321010120e-09
1.500000000000000000e+05,2.669631958007812750e-02,7.464638854718832985e-09
1.600000000000000000e+05,2.818939208984375111e-02,7.730488145325555704e-09
1.700000000000000000e+05,2.984848022460937639e-02,8.141514626689007445e-09
1.800000000000000000e+05,3.119689941406249972e-02,8.396555559229097734e-09
1.900000000000000000e+05,3.268173217773437389e-02,8.675862877988348729e-09
2.000000000000000000e+05,3.395416259765625389e-02,8.933797036337083724e-09
2.200000000000000000e+05,3.675552368164063111e-02,9.410088854731945181e-09
2.400000000000000000e+05,3.910827636718750000e-02,9.713831799463857408e-09
2.600000000000000000e+05,4.164443969726562556e-02,1.015956932551836937e-08
2.800000000000000000e+05,4.382553100585937639e-02,1.042866797021135042e-08
3.000000000000000000e+05,4.636535644531249861e-02,1.083869372941933885e-08
4.000000000000000000e+05,5.705673217773437472e-02,1.221225260382893953e-08
5.000000000000000000e+05,6.619262695312500000e-02,1.307446115576518987e-08
6.000000000000000000e+05,7.439270019531249445e-02,1.367927305895896305e-08
7.000000000000000000e+05,8.163619995117187000e-02,1.404223752109902050e-08
8.000000000000000000e+05,8.766693115234375222e-02,1.410895300589858596e-08
9.000000000000000000e+05,9.344757080078125444e-02,1.420016766658887833e-08
1.000000000000000000e+06,9.821350097656250666e-02,1.407638820632663743e-08
1.100000000000000000e+06,1.029855346679687533e-01,1.404651197187654732e-08
1.200000000000000000e+06,1.068316650390624956e-01,1.382860557210928884e-08
1.300000000000000000e+06,1.102832031249999928e-01,1.358300558030520191e-08
1.400000000000000000e+06,1.139891052246093939e-01,1.346070091072633176e-08
1.500000000000000000e+06,1.164337158203125056e-01,1.309661958516376555e-08
1.600000000000000000e+06,1.197329711914062456e-01,1.292572119617400830e-08
1.700000000000000000e+06,1.223295593261718717e-01,1.263921981520789635e-08
1.800000000000000000e+06,1.254261779785156294e-01,1.258656311142815546e-08
1.900000000000000000e+06,1.268847656249999789e-01,1.218263647459922452e-08
2.000000000000000000e+06,1.301617431640625100e-01,1.217634278878172961e-08
2.200000000000000000e+06,1.330288696289062544e-01,1.154464821146139522e-08
2.400000000000000000e+06,1.392967224121093861e-01,1.154393207840517347e-08
2.600000000000000000e+06,1.409884643554687456e-01,1.091289364631419224e-08
2.800000000000000000e+06,1.427922058105468572e-01,1.038238195463025937e-08
3.000000000000000000e+06,1.450344848632812711e-01,1.000944007375760589e-08
4.000000000000000000e+06,1.546557617187500067e-01,8.541364823276959054e-09
5.000000000000000000e+06,1.595800781249999967e-01,7.246538315096633846e-09
6.000000000000000000e+06,1.631634521484374989e-01,6.327614174686373972e-09
7.000000000000000000e+06,1.669609069824218861e-01,5.653404572619799109e-09
8.000000000000000000e+06,1.697190856933593617e-01,5.100695306245484243e-09
9.000000000000000000e+06,1.712310791015624889e-01,4.632734080656500128e-09
1.000000000000000000e+07,1.724957275390625044e-01,4.217628438710789511e-09
