# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,8.270568847656249722e-03,8.609139696381926287e-09
2.000000000000000000e+04,8.997650146484376110e-03,6.590952343251977813e-09
3.000000000000000000e+04,1.224151611328125160e-02,8.304497149899691050e-09
4.000000000000000000e+04,1.472473144531250173e-02,9.008449410346773455e-09
5.000000000000000000e+04,1.767471313476562389e-02,1.025341889402446422e-08
6.000000000000000000e+04,2.073883056640625153e-02,1.139577310348864125e-08
7.000000000000000000e+04,2.381423950195312583e-02,1.287567818332226929e-08
8.000000000000000000e+04,2.639678955078125083e-02,1.369515466200715364e-08
9.000000000000000000e+04,2.944244384765624944e-02,1.490266135986075879e-08
1.000000000000000000e+05,3.255386352539062222e-02,1.614697521848023824e-08
1.100000000000000000e+05,3.492584228515625139e-02,1.681112785560259290e-08
1.200000000000000000e+05,3.811691284179687805e-02,1.821028157183162755e-08
1.300000000000000000e+05,4.065963745117187611e-02,1.875822749924910497e-08
1.400000000000000000e+05,4.354782104492188610e-02,2.011276865164551639e-08
1.500000000000000000e+05,4.575286865234375056e-02,2.068249456299197746e-08
1.600000000000000000e+05,4.851806640625000444e-02,2.169056687231153989e-08
1.700000000000000000e+05,5.146957397460937000e-02,2.276391719539172847e-08
1.800000000000000000e+05,5.436630249023437222e-02,2.377816235642766407e-08
1.900000000000000000e+05,5.668563842773437222e-02,2.465032152007485352e-08
2.000000000000000000e+05,5.859359741210938555e-02,2.488872100012058552e-08
2.200000000000000000e+05,6.330932617187498557e-02,2.638163972701047470e-08
2.400000000000000000e+05,6.741012573242187444e-02,2.728851551182094675e-08
2.600000000000000000e+05,7.233688354492187611e-02,2.868346846361663771e-08
2.800000000000000000e+05,7.651947021484375999e-02,2.979960016814114245e-08
3.000000000000000000e+05,8.033218383789061945e-02,3.065046520442263287e-08
4.000000000000000000e+05,9.921752929687499556e-02,3.456016674289369382e-08
5.000000000000000000e+05,1.159109497070312522e-01,3.726915458766738629e-08
6.000000000000000000e+05,1.280131530761718928e-01,3.785952107336494383e-08
7.000000000000000000e+05,1.408251953125000122e-01,3.890083314285276343e-08
8.000000000000000000e+05,1.506346130371093717e-01,3.887776331151778008e-08
9.000000000000000000e+05,1.601533508300781450e-01,3.899842697481095076e-08
1.000000000000000000e+06,1.685704040527343517e-01,3.872510814073658124e-08
1.100000000000000000e+06,1.757205200195312567e-01,3.813619233157764462e-08
1.200000000000000000e+06,1.815402221679687511e-01,3.735489974860242173e-08
1.300000000000000000e+06,1.877218627929687633e-01,3.677873687355276454e-08
1.400000000000000000e+06,1.923980712890625000e-01,3.591880140059805004e-08
1.500000000000000000e+06,1.972669982910156272e-01,3.511169101888242353e-08
1.600000000000000000e+06,2.032453918457031439e-01,3.483754245650117100e-08
1.700000000000000000e+06,2.067388916015625022e-01,3.399976099163875907e-08
1.800000000000000000e+06,2.099388122558593639e-01,3.321725207921487842e-08
1.900000000000000000e+06,2.145942687988281472e-01,3.274040968503057260e-08
2.000000000000000000e+06,2.192192077636718750e-01,3.242850379764995612e-08
2.200000000000000000e+06,2.233903503417968839e-01,3.066449817568309276e-08
2.400000000000000000e+06,2.304574584960937256e-01,2.977346260558036212e-08
2.600000000000000000e+06,2.344807434082031294e-01,2.842903085488559346e-08
2.800000000000000000e+06,2.372067260742187489e-01,2.706959275364014584e-08
3.000000000000000000e+06,2.401200866699218783e-01,2.593405164279170320e-08
4.000000000000000000e+06,2.547885131835937456e-01,2.177733105774243125e-08
5.000000000000000000e+06,2.625192260742187367e-01,1.853952021787720789e-08
6.000000000000000000e+06,2.704324340820312145e-01,1.633083312922800726e-08
7.000000000000000000e+06,2.741824340820312456e-01,1.439088103567770908e-08
8.000000000000000000e+06,2.802459716796874556e-01,1.313225133774714691e-08
9.000000000000000000e+06,2.819218444824218572e-01,1.181847695323400754e-08
1.000000000000000000e+07,2.854428100585937322e-01,1.090540143631532458e-08
