# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,3.454589843749999653e-03,1.492160354277072242e-09
2.000000000000000000e+04,6.590270996093750520e-03,2.724206135884611652e-09
3.000000000000000000e+04,9.736328125000002359e-03,3.777212756645091423e-09
4.000000000000000000e+04,1.282897949218750333e-02,4.916487805578298396e-09
5.000000000000000000e+04,1.590179443359375153e-02,6.003114800985231092e-09
6.000000000000000000e+04,1.873382568359375014e-02,6.931036826469559052e-09
7.000000000000000000e+04,2.155059814453125222e-02,7.835483331683431725e-09
8.000000000000000000e+04,2.433822631835937805e-02,8.665343686682920419e-09
9.000000000000000000e+04,2.734603881835937639e-02,9.665347895602809687e-09
1.000000000000000000e+05,2.981369018554687333e-02,1.034902904755132276e-08
2.000000000000000000e+05,5.393615722656249639e-02,1.699697388353878475e-08
3.000000000000000000e+05,7.405288696289062667e-02,2.155498313255947965e-08
4.000000000000000000e+05,9.176147460937500444e-02,2.483150377817414894e-08
5.000000000000000000e+05,1.063488769531250044e-01,2.688543817248303250e-08
6.000000000000000000e+05,1.201312255859375011e-01,2.870873434815434139e-08
7.000000000000000000e+05,1.307887268066406095e-01,2.925617779687351651e-08
8.000000000000000000e+05,1.408174133300781339e-01,2.974231196990666914e-08
9.000000000000000000e+05,1.496553039550781450e-01,2.996161162373556634e-08
1.000000000000000000e+06,1.577435302734375155e-01,2.997826057960074591e-08
1.100000000000000000e+06,1.650106811523437411e-01,2.989576014780860066e-08
1.200000000000000000e+06,1.723625183105468861e-01,2.983639614921496226e-08
1.300000000000000000e+06,1.785049438476562500e-01,2.958730915910112479e-08
1.400000000000000000e+06,1.844335937500000133e-01,2.932580433550248883e-08
1.500000000000000000e+06,1.882046508789062544e-01,2.868804697570957029e-08
1.600000000000000000e+06,1.926766967773437533e-01,2.819892694430469501e-08
1.700000000000000000e+06,1.983691406249999956e-01,2.800372103296740662e-08
1.800000000000000000e+06,2.007604980468750133e-01,2.723628629084898040e-08
1.900000000000000000e+06,2.063600158691406283e-01,2.716077178145286452e-08
2.000000000000000000e+06,2.087994384765625155e-01,2.658477941696087721e-08
2.200000000000000000e+06,2.151420593261718639e-01,2.569393394555070759e-08
2.400000000000000000e+06,2.196755981445312478e-01,2.452715805427659006e-08
2.600000000000000000e+06,2.246673583984374889e-01,2.370790303320586383e-08
3.000000000000000000e+06,2.322680664062499734e-01,2.201321542023678756e-08
4.000000000000000000e+06,2.481199645996093883e-01,1.884459968567014884e-08
5.000000000000000000e+06,2.566217041015624867e-01,1.620280300333588339e-08
6.000000000000000000e+06,2.632905578613281561e-01,1.420186588100819352e-08
7.000000000000000000e+06,2.689649963378906161e-01,1.270622131845763952e-08
8.000000000000000000e+06,2.744401550292968617e-01,1.152993997454424663e-08
9.000000000000000000e+06,2.772291564941405939e-01,1.049524542436997449e-08
1.000000000000000000e+07,2.786264038085937145e-01,9.548490027206661433e-09
