# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,7.343292236328126735e-03,8.917664671754027018e-12
2.000000000000000000e+04,1.081771850585937743e-02,1.896273828076269253e-11
3.000000000000000000e+04,1.559448242187500173e-02,3.611647357731494041e-11
4.000000000000000000e+04,2.005599975585937306e-02,5.684579036150321067e-11
5.000000000000000000e+04,2.426055908203125083e-02,8.027914626088308884e-11
6.000000000000000000e+04,2.845993041992187639e-02,1.085660187434960634e-10
7.000000000000000000e+04,3.269165039062500028e-02,1.414868564094308691e-10
8.000000000000000000e+04,3.662673950195312333e-02,1.763001320854066049e-10
9.000000000000000000e+04,4.061767578125000111e-02,2.138501896021742149e-10
1.000000000000000000e+05,4.455688476562499889e-02,2.561710470973855206e-10
1.100000000000000000e+05,4.835540771484374972e-02,2.988199145338773574e-10
1.200000000000000000e+05,5.200454711914062611e-02,3.447638575738597591e-10
1.300000000000000000e+05,5.548461914062500361e-02,3.902903761115267596e-10
1.400000000000000000e+05,5.919647216796875000e-02,4.428795056465344917e-10
1.500000000000000000e+05,6.252380371093749223e-02,4.921632964035561137e-10
1.600000000000000000e+05,6.600509643554688943e-02,5.465818014670544922e-10
1.700000000000000000e+05,6.941101074218750111e-02,6.037930588923840914e-10
1.800000000000000000e+05,7.256668090820311834e-02,6.575460752475940366e-10
1.900000000000000000e+05,7.536422729492187056e-02,7.084498906158956213e-10
2.000000000000000000e+05,7.933074951171874278e-02,7.818508522183287335e-10
2.200000000000000000e+05,8.475952148437500278e-02,8.905258477317377346e-10
2.400000000000000000e+05,9.069992065429688388e-02,1.014925055205822104e-09
2.600000000000000000e+05,9.636352539062500999e-02,1.143189517610486546e-09
2.800000000000000000e+05,1.001734924316406150e-01,1.235023491113566027e-09
3.000000000000000000e+05,1.063542175292968711e-01,1.383022160206026447e-09
4.000000000000000000e+05,1.268472290039062700e-01,1.942887673011192884e-09
5.000000000000000000e+05,1.440086364746093750e-01,2.489080846877325062e-09
6.000000000000000000e+05,1.583578491210937411e-01,2.981190447537404175e-09
7.000000000000000000e+05,1.687014770507812567e-01,3.350301011700496451e-09
8.000000000000000000e+05,1.786491394042968583e-01,3.725460935522009080e-09
9.000000000000000000e+05,1.858459472656250056e-01,4.005701677514872303e-09
1.000000000000000000e+06,1.934324645996093883e-01,4.301730312000621643e-09
1.100000000000000000e+06,1.996139526367187444e-01,4.551781525483002591e-09
1.200000000000000000e+06,2.060644531249999911e-01,4.817525114331927024e-09
1.300000000000000000e+06,2.093003845214843894e-01,4.948950269580941740e-09
1.400000000000000000e+06,2.144624328613281561e-01,5.129172442252175090e-09
1.500000000000000000e+06,2.174383544921875133e-01,5.246652619735054422e-09
1.600000000000000000e+06,2.204228210449218628e-01,5.348924143561001379e-09
1.700000000000000000e+06,2.251469421386718683e-01,5.516761747180906457e-09
1.800000000000000000e+06,2.265425109863281328e-01,5.554323390378790312e-09
1.900000000000000000e+06,2.300016784667968661e-01,5.660061523693949709e-09
2.000000000000000000e+06,2.343003845214843839e-01,5.834911441802978977e-09
2.200000000000000000e+06,2.370433044433593595e-01,5.879541397094726392e-09
2.400000000000000000e+06,2.414692687988281017e-01,5.997358722071494081e-09
2.600000000000000000e+06,2.442178344726562422e-01,6.043393937368241262e-09
2.800000000000000000e+06,2.472895812988281095e-01,6.107549697160721133e-09
3.000000000000000000e+06,2.487573242187500200e-01,6.090687150221604278e-09
4.000000000000000000e+06,2.594612121582031694e-01,6.152587372916085681e-09
5.000000000000000000e+06,2.634655761718750488e-01,5.931108296712240044e-09
6.000000000000000000e+06,2.675436401367187189e-01,5.743145418167114414e-09
7.000000000000000000e+06,2.681489562988281228e-01,5.461470099056468361e-09
8.000000000000000000e+06,2.715382385253906072e-01,5.277590921190049997e-09
9.000000000000000000e+06,2.746319580078124822e-01,5.108009619461862335e-09
1.000000000000000000e+07,2.752655029296874889e-01,4.863133468627929345e-09
