# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,1.031921386718750305e-02,1.550786388646291822e-08
2.000000000000000000e+04,1.490188598632812694e-02,1.808966787378404925e-08
3.000000000000000000e+04,2.059646606445312417e-02,2.263732474786647581e-08
4.000000000000000000e+04,2.598175048828125361e-02,2.597930809786395943e-08
5.000000000000000000e+04,3.201019287109375250e-02,3.075170430185146816e-08
6.000000000000000000e+04,3.798782348632813444e-02,3.544694314298863576e-08
7.000000000000000000e+04,4.401962280273437333e-02,4.075735995170772136e-08
8.000000000000000000e+04,5.002319335937500250e-02,4.505465455973792454e-08
9.000000000000000000e+04,5.537048339843750333e-02,4.877060848141183852e-08
1.000000000000000000e+05,6.077178955078125361e-02,5.209514402658707765e-08
1.100000000000000000e+05,6.586395263671876443e-02,5.568766513521752515e-08
1.200000000000000000e+05,7.038909912109375666e-02,5.806915211741725317e-08
1.300000000000000000e+05,7.495681762695313721e-02,6.057263950189416260e-08
1.400000000000000000e+05,8.128768920898438166e-02,6.553620256908181552e-08
1.500000000000000000e+05,8.606307983398438222e-02,6.825064617163619836e-08
1.600000000000000000e+05,9.069366455078126110e-02,7.083479955392614012e-08
1.700000000000000000e+05,9.453948974609376055e-02,7.257780578082997426e-08
1.800000000000000000e+05,9.943572998046874833e-02,7.559374880371758241e-08
1.900000000000000000e+05,1.039350891113281355e-01,7.763895431145037824e-08
2.000000000000000000e+05,1.077166748046874956e-01,7.930593891952416661e-08
2.200000000000000000e+05,1.151779174804687528e-01,8.232873774468461399e-08
2.400000000000000000e+05,1.234939575195312389e-01,8.612614667490968488e-08
2.600000000000000000e+05,1.310543823242187600e-01,8.908465527743012977e-08
2.800000000000000000e+05,1.372001647949218639e-01,8.996743223432056701e-08
3.000000000000000000e+05,1.459056091308593706e-01,9.480194661761609195e-08
4.000000000000000000e+05,1.763833618164062367e-01,1.024883569077698338e-07
5.000000000000000000e+05,2.034562683105468894e-01,1.080380399969180612e-07
6.000000000000000000e+05,2.247090148925781072e-01,1.095554999077036020e-07
7.000000000000000000e+05,2.423011779785156083e-01,1.089727038435773841e-07
8.000000000000000000e+05,2.566767883300781206e-01,1.072237596127260122e-07
9.000000000000000000e+05,2.710151672363281250e-01,1.060013644425214918e-07
1.000000000000000000e+06,2.808699035644531272e-01,1.021034901969248388e-07
1.100000000000000000e+06,2.916213989257812611e-01,1.001403300504279358e-07
1.200000000000000000e+06,3.034709167480468817e-01,9.903483244137090819e-08
1.300000000000000000e+06,3.101536560058593128e-01,9.560033486863888137e-08
1.400000000000000000e+06,3.188711547851562633e-01,9.368814479341499851e-08
1.500000000000000000e+06,3.247453308105469061e-01,9.079302037341936265e-08
1.600000000000000000e+06,3.283657836914062877e-01,8.725081569605391243e-08
1.700000000000000000e+06,3.355487060546875067e-01,8.581491336628487262e-08
1.800000000000000000e+06,3.398057556152344061e-01,8.322066473261952189e-08
1.900000000000000000e+06,3.445344543457030673e-01,8.091507015951024966e-08
2.000000000000000000e+06,3.483761596679687544e-01,7.877852811561875517e-08
2.200000000000000000e+06,3.537484741210937811e-01,7.377665928908508553e-08
2.400000000000000000e+06,3.600862121582031339e-01,7.015541602639932579e-08
2.600000000000000000e+06,3.662272644042968706e-01,6.720638081807430868e-08
2.800000000000000000e+06,3.739346313476562544e-01,6.486208779034321585e-08
3.000000000000000000e+06,3.766180419921875133e-01,6.165938267563219651e-08
4.000000000000000000e+06,3.912051391601562567e-01,4.999920262623694312e-08
5.000000000000000000e+06,4.000921630859374800e-01,4.191535508128445051e-08
6.000000000000000000e+06,4.072680664062500178e-01,3.625410721855374321e-08
7.000000000000000000e+06,4.115415954589843883e-01,3.172456620548538393e-08
8.000000000000000000e+06,4.159707641601562700e-01,2.836133478414834005e-08
9.000000000000000000e+06,4.201838684082030984e-01,2.575006821940702453e-08
1.000000000000000000e+07,4.232493591308593706e-01,2.350316548873374405e-08
