# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,9.175872802734377082e-03,1.004770891319071329e-08
5.000000000000000000e+04,1.751007080078125291e-02,8.510663526963837556e-09
1.000000000000000000e+05,3.115295410156249806e-02,1.230688376709982913e-08
1.200000000000000000e+05,3.635055541992187472e-02,1.388813207338669375e-08
1.400000000000000000e+05,4.140624999999999861e-02,1.543647094240900699e-08
