# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,1.073730468750000097e-02,1.536970936695393071e-08
2.000000000000000000e+04,1.434097290039062708e-02,1.565177859881419923e-08
3.000000000000000000e+04,1.950592041015625222e-02,1.853125790175483732e-08
4.000000000000000000e+04,2.497955322265624917e-02,2.228368363056548627e-08
5.000000000000000000e+04,3.030883789062500250e-02,2.581317392206843604e-08
6.000000000000000000e+04,3.581146240234375777e-02,2.980378386922718284e-08
7.000000000000000000e+04,4.103958129882812056e-02,3.308665828874040990e-08
8.000000000000000000e+04,4.637634277343750250e-02,3.683003164425776570e-08
9.000000000000000000e+04,5.132568359375000444e-02,3.997340398203474195e-08
1.000000000000000000e+05,5.632553100585937361e-02,4.316041510605401809e-08
1.100000000000000000e+05,6.128250122070312556e-02,4.610221913354587979e-08
1.200000000000000000e+05,6.568283081054687722e-02,4.857304785623368317e-08
1.300000000000000000e+05,7.076950073242187222e-02,5.181334620086005938e-08
1.400000000000000000e+05,7.455413818359375722e-02,5.325625390168809408e-08
1.500000000000000000e+05,7.838928222656249556e-02,5.515117753218885076e-08
1.600000000000000000e+05,8.321670532226563277e-02,5.804834563671306389e-08
1.700000000000000000e+05,8.732711791992187056e-02,5.997404610496200639e-08
1.800000000000000000e+05,8.995147705078125611e-02,6.013165446064362270e-08
1.900000000000000000e+05,9.379760742187499833e-02,6.177565335490833550e-08
2.000000000000000000e+05,9.805541992187499778e-02,6.418629787344226512e-08
2.200000000000000000e+05,1.043902587890624956e-01,6.602823935583672214e-08
2.400000000000000000e+05,1.103260803222656239e-01,6.743735347910578382e-08
2.600000000000000000e+05,1.174320983886718711e-01,7.027989133025194525e-08
2.800000000000000000e+05,1.223545837402343628e-01,7.076299054154815890e-08
3.000000000000000000e+05,1.272706604003906450e-01,7.126800305074829583e-08
4.000000000000000000e+05,1.500663757324218750e-01,7.413150851125556787e-08
5.000000000000000000e+05,1.662426757812500155e-01,7.286221236883698531e-08
6.000000000000000000e+05,1.789704895019531006e-01,7.062772487237097858e-08
7.000000000000000000e+05,1.905903625488281072e-01,6.882945718367864847e-08
8.000000000000000000e+05,1.962982177734374778e-01,6.411513611126785506e-08
9.000000000000000000e+05,2.021237182617187378e-01,6.057008413491086104e-08
1.000000000000000000e+06,2.056056213378906206e-01,5.658572870785039315e-08
1.100000000000000000e+06,2.090661621093750089e-01,5.337933490728076463e-08
1.200000000000000000e+06,2.124789428710937289e-01,5.061314179760156022e-08
1.300000000000000000e+06,2.138885498046875222e-01,4.759062759517528663e-08
1.400000000000000000e+06,2.140319824218749889e-01,4.434285457008016130e-08
1.500000000000000000e+06,2.149243164062500100e-01,4.179968119930107344e-08
1.600000000000000000e+06,2.156988525390625133e-01,3.955663211456830988e-08
1.700000000000000000e+06,2.156832885742187567e-01,3.723564066920609039e-08
1.800000000000000000e+06,2.148486328124999956e-01,3.501193792943010136e-08
1.900000000000000000e+06,2.137716674804687467e-01,3.284070665661820857e-08
2.000000000000000000e+06,2.113644409179687711e-01,3.053001288745937469e-08
2.200000000000000000e+06,2.124215698242187256e-01,2.806922087551838608e-08
2.400000000000000000e+06,2.128593444824218861e-01,2.592025137768049711e-08
2.600000000000000000e+06,2.120651245117187444e-01,2.375633558481533850e-08
2.800000000000000000e+06,2.092112731933593595e-01,2.142933666015075859e-08
3.000000000000000000e+06,2.070668029785156239e-01,1.963600381538316635e-08
4.000000000000000000e+06,2.104678344726562678e-01,1.524844837447237841e-08
5.000000000000000000e+06,2.090974426269531228e-01,1.205127116457486888e-08
6.000000000000000000e+06,2.091418457031249956e-01,1.003648717816359431e-08
7.000000000000000000e+06,2.074122619628906150e-01,8.460481960915384300e-09
8.000000000000000000e+06,2.067973327636718761e-01,7.367378696768703152e-09
9.000000000000000000e+06,2.055677795410156272e-01,6.465903135936435230e-09
1.000000000000000000e+07,2.029667663574218905e-01,5.679002232087569920e-09
