# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,5.302886962890625451e-03,4.348815911865845315e-09
2.000000000000000000e+04,1.099029541015624986e-02,7.368978169743855085e-09
3.000000000000000000e+04,1.576156616210937916e-02,1.008560894242978402e-08
4.000000000000000000e+04,2.097259521484375402e-02,1.307748525769277828e-08
5.000000000000000000e+04,2.590560913085937500e-02,1.562954733336974104e-08
6.000000000000000000e+04,3.099105834960937805e-02,1.838224291517341910e-08
7.000000000000000000e+04,3.547164916992187611e-02,2.100339584818152365e-08
8.000000000000000000e+04,3.983383178710937778e-02,2.297150030894389371e-08
9.000000000000000000e+04,4.468276977539062389e-02,2.576090269868312378e-08
1.000000000000000000e+05,4.928024291992187667e-02,2.829413157894788353e-08
2.000000000000000000e+05,9.128524780273436501e-02,4.799421918112577979e-08
3.000000000000000000e+05,1.249238586425781283e-01,6.002343705770004770e-08
4.000000000000000000e+05,1.536163330078125222e-01,6.837386966896351555e-08
5.000000000000000000e+05,1.795317077636718883e-01,7.506192491887477757e-08
6.000000000000000000e+05,2.000282287597656139e-01,7.770451946402518460e-08
7.000000000000000000e+05,2.206602478027343550e-01,8.137243853271198707e-08
8.000000000000000000e+05,2.369187927246093617e-01,8.205304713385588745e-08
9.000000000000000000e+05,2.525021362304687988e-01,8.285384148645434446e-08
1.000000000000000000e+06,2.643923950195312678e-01,8.208551819524351287e-08
1.100000000000000000e+06,2.758312988281250155e-01,8.153891970915858575e-08
1.200000000000000000e+06,2.843417358398437345e-01,7.931080376036534475e-08
1.300000000000000000e+06,2.963195800781249778e-01,7.957120144444089346e-08
1.400000000000000000e+06,3.027832031250000111e-01,7.703735788922679655e-08
1.500000000000000000e+06,3.137763977050781472e-01,7.742718760916985559e-08
1.600000000000000000e+06,3.207371520996094016e-01,7.592487763583392797e-08
1.700000000000000000e+06,3.241958618164062500e-01,7.312323498710787186e-08
1.800000000000000000e+06,3.315895080566406694e-01,7.261760725176062435e-08
1.900000000000000000e+06,3.361889648437499933e-01,7.041314484770234434e-08
2.000000000000000000e+06,3.439407348632812500e-01,7.001491784288286826e-08
2.200000000000000000e+06,3.518017578125000044e-01,6.659001912867116580e-08
2.400000000000000000e+06,3.600602722167968728e-01,6.406077084041164422e-08
2.600000000000000000e+06,3.688136291503906206e-01,6.223191596732010308e-08
3.000000000000000000e+06,3.804881286621093484e-01,5.746785664259107920e-08
4.000000000000000000e+06,4.000547790527343439e-01,4.777404115326095497e-08
5.000000000000000000e+06,4.170472717285156339e-01,4.172402844413473713e-08
6.000000000000000000e+06,4.260887145996093417e-01,3.638422048066133377e-08
7.000000000000000000e+06,4.322712707519531516e-01,3.194086910078474053e-08
8.000000000000000000e+06,4.376347351074219016e-01,2.865457581919425754e-08
9.000000000000000000e+06,4.403526306152343306e-01,2.591156315589022367e-08
1.000000000000000000e+07,4.463392639160156383e-01,2.402870521584285623e-08
