# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,5.051879882812499757e-03,3.184724862474689761e-09
2.000000000000000000e+04,4.848632812499999861e-03,1.882039381917622596e-09
3.000000000000000000e+04,5.505828857421875625e-03,1.588603154146163872e-09
4.000000000000000000e+04,7.154235839843750208e-03,2.090211111421433104e-09
5.000000000000000000e+04,8.295745849609376110e-03,2.143809357699565124e-09
6.000000000000000000e+04,9.994964599609376318e-03,2.553929042995767716e-09
7.000000000000000000e+04,1.124679565429687750e-02,2.722319813330233639e-09
8.000000000000000000e+04,1.267562866210937729e-02,2.854602417140195988e-09
9.000000000000000000e+04,1.394195556640625069e-02,3.108850480545876070e-09
1.000000000000000000e+05,1.538726806640625458e-02,3.362332099335257143e-09
1.100000000000000000e+05,1.660598754882812444e-02,3.486202798768946675e-09
1.200000000000000000e+05,1.806808471679687694e-02,3.758039946631629520e-09
1.300000000000000000e+05,1.929290771484375167e-02,3.947025161480128155e-09
1.400000000000000000e+05,2.070281982421875305e-02,4.190807380812235360e-09
1.500000000000000000e+05,2.206039428710937847e-02,4.450697155671305652e-09
1.600000000000000000e+05,2.319412231445312778e-02,4.603435831950122354e-09
1.700000000000000000e+05,2.426071166992187569e-02,4.703635428264714263e-09
1.800000000000000000e+05,2.542633056640625222e-02,4.864894542632315045e-09
1.900000000000000000e+05,2.657089233398438055e-02,5.037993969568129411e-09
2.000000000000000000e+05,2.810745239257812431e-02,5.285696304062425556e-09
2.200000000000000000e+05,2.978637695312499889e-02,5.422730505921351014e-09
2.400000000000000000e+05,3.192626953125000250e-02,5.724015227695340705e-09
2.600000000000000000e+05,3.478164672851562916e-02,6.169247007647476510e-09
2.800000000000000000e+05,3.625335693359375139e-02,6.280704955385482173e-09
3.000000000000000000e+05,3.798736572265624944e-02,6.417459077219743310e-09
4.000000000000000000e+05,4.707336425781250000e-02,7.383057256468186665e-09
5.000000000000000000e+05,5.459365844726563055e-02,7.921711909261728446e-09
6.000000000000000000e+05,6.078323364257812167e-02,8.165974676378468284e-09
7.000000000000000000e+05,6.731262207031249445e-02,8.518518540090703431e-09
8.000000000000000000e+05,7.241455078125000333e-02,8.615485866079677989e-09
9.000000000000000000e+05,7.583297729492187444e-02,8.485751154205531755e-09
1.000000000000000000e+06,8.145950317382813499e-02,8.717195948941748136e-09
1.100000000000000000e+06,8.413085937500000555e-02,8.479597532530296606e-09
1.200000000000000000e+06,8.718292236328126221e-02,8.353597673271470726e-09
1.300000000000000000e+06,9.091857910156250777e-02,8.386954091615844072e-09
1.400000000000000000e+06,9.311508178710936612e-02,8.200723784935718962e-09
1.500000000000000000e+06,9.548843383789062944e-02,8.060710619438362814e-09
1.600000000000000000e+06,9.790679931640625111e-02,7.915705025065952995e-09
1.700000000000000000e+06,9.989685058593750222e-02,7.778934615188967056e-09
1.800000000000000000e+06,1.012493896484375072e-01,7.566374919722267283e-09
1.900000000000000000e+06,1.045373535156250144e-01,7.607545563000279134e-09
2.000000000000000000e+06,1.041955566406250061e-01,7.195412280589758575e-09
2.200000000000000000e+06,1.068128967285156272e-01,6.918639939603028731e-09
2.400000000000000000e+06,1.098333740234374994e-01,6.632933396047445671e-09
2.600000000000000000e+06,1.123005676269531183e-01,6.445673150730804461e-09
2.800000000000000000e+06,1.149610900878906272e-01,6.251501984196068770e-09
3.000000000000000000e+06,1.172619628906250017e-01,6.084482072181106098e-09
4.000000000000000000e+06,1.239857482910156211e-01,5.101878702710255792e-09
5.000000000000000000e+06,1.290254211425781450e-01,4.390759696188881703e-09
6.000000000000000000e+06,1.324891662597656172e-01,3.849993827023326624e-09
7.000000000000000000e+06,1.318955993652343728e-01,3.288986989599933543e-09
8.000000000000000000e+06,1.339788818359375078e-01,2.966480647256325533e-09
9.000000000000000000e+06,1.363290405273437367e-01,2.746685485828348387e-09
1.000000000000000000e+07,1.392517089843750000e-01,2.564799700795420167e-09
