# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,6.940460205078125347e-03,6.062054011883968826e-09
2.000000000000000000e+04,7.378997802734376353e-03,4.428661165818662727e-09
3.000000000000000000e+04,9.541778564453127359e-03,5.097931366968757453e-09
4.000000000000000000e+04,1.155746459960937597e-02,5.504384713990548469e-09
5.000000000000000000e+04,1.389419555664062750e-02,6.124457894142899019e-09
6.000000000000000000e+04,1.662857055664062472e-02,7.167461464753582267e-09
7.000000000000000000e+04,1.904357910156249944e-02,7.910849773853678389e-09
8.000000000000000000e+04,2.091461181640625125e-02,8.135588994224488187e-09
9.000000000000000000e+04,2.339385986328125500e-02,8.657783101997651948e-09
1.000000000000000000e+05,2.574737548828125167e-02,9.403348349329006898e-09
1.100000000000000000e+05,2.797912597656250153e-02,9.871098339802024672e-09
1.200000000000000000e+05,2.997192382812500014e-02,1.029121088094122634e-08
1.300000000000000000e+05,3.220352172851562861e-02,1.092172584343251474e-08
1.400000000000000000e+05,3.422409057617187278e-02,1.130011797610346331e-08
1.500000000000000000e+05,3.552154541015625083e-02,1.154566887848351849e-08
1.600000000000000000e+05,3.845748901367187361e-02,1.247428965425045128e-08
1.700000000000000000e+05,3.977508544921875416e-02,1.262463492287361683e-08
1.800000000000000000e+05,4.219619750976562333e-02,1.348194049814415126e-08
1.900000000000000000e+05,4.413513183593750083e-02,1.383114411702520790e-08
2.000000000000000000e+05,4.599319458007812556e-02,1.422108787588386388e-08
2.200000000000000000e+05,4.940155029296874889e-02,1.487599286769044576e-08
2.400000000000000000e+05,5.315414428710937139e-02,1.570257160925973190e-08
2.600000000000000000e+05,5.605026245117188111e-02,1.613425725058434440e-08
2.800000000000000000e+05,5.918869018554687861e-02,1.662780409023999718e-08
3.000000000000000000e+05,6.196578979492187861e-02,1.697460747030257530e-08
4.000000000000000000e+05,7.650665283203125777e-02,1.921369899028865728e-08
5.000000000000000000e+05,8.845642089843749889e-02,2.054621134898355172e-08
6.000000000000000000e+05,9.850708007812500333e-02,2.118441674952351681e-08
7.000000000000000000e+05,1.055656433105468806e-01,2.100346916235013679e-08
8.000000000000000000e+05,1.137902832031249950e-01,2.119962331126187737e-08
9.000000000000000000e+05,1.209333801269531217e-01,2.128745405248703493e-08
1.000000000000000000e+06,1.263371276855468905e-01,2.098511428405075740e-08
1.100000000000000000e+06,1.313781738281250000e-01,2.063232904385214774e-08
1.200000000000000000e+06,1.331805419921874845e-01,1.961274102095800236e-08
1.300000000000000000e+06,1.405656433105468839e-01,2.001244487427242177e-08
1.400000000000000000e+06,1.443879699707031339e-01,1.957800393170966233e-08
1.500000000000000000e+06,1.451275634765624989e-01,1.851619706748971425e-08
1.600000000000000000e+06,1.489631652832031083e-01,1.839449519632685304e-08
1.700000000000000000e+06,1.538961791992187467e-01,1.831335673447420736e-08
1.800000000000000000e+06,1.557861328124999778e-01,1.769838239982444930e-08
1.900000000000000000e+06,1.551417541503906095e-01,1.683458245310576040e-08
2.000000000000000000e+06,1.611807250976562411e-01,1.702988192695356912e-08
2.200000000000000000e+06,1.646247863769531028e-01,1.624300773272597759e-08
2.400000000000000000e+06,1.673791503906250089e-01,1.538537624170928134e-08
2.600000000000000000e+06,1.681561279296874822e-01,1.440348379313123318e-08
2.800000000000000000e+06,1.717146301269531217e-01,1.392731537006628828e-08
3.000000000000000000e+06,1.738128662109375000e-01,1.330719516957426617e-08
4.000000000000000000e+06,1.851628112792968461e-01,1.125602221422320732e-08
5.000000000000000000e+06,1.884231567382812500e-01,9.383210098455636773e-09
6.000000000000000000e+06,1.935569763183593861e-01,8.254311838901314032e-09
7.000000000000000000e+06,1.933169555664062678e-01,7.104489210728662302e-09
8.000000000000000000e+06,1.989976501464843783e-01,6.549037925343037301e-09
9.000000000000000000e+06,1.998539733886718628e-01,5.901418793139339708e-09
1.000000000000000000e+07,2.026391601562499978e-01,5.395861887171623771e-09
