# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,6.217193603515625694e-03,5.427181130588645543e-11
2.000000000000000000e+04,9.286651611328126943e-03,1.294682072658165049e-10
3.000000000000000000e+04,1.261352539062500153e-02,2.202006219660194042e-10
4.000000000000000000e+04,1.590881347656250208e-02,3.229566720815806170e-10
5.000000000000000000e+04,1.963943481445312722e-02,4.851383027576265168e-10
6.000000000000000000e+04,2.306488037109374889e-02,6.494716428360848873e-10
7.000000000000000000e+04,2.662933349609374750e-02,8.488236186660339163e-10
8.000000000000000000e+04,2.976287841796874944e-02,1.033245369240089827e-09
9.000000000000000000e+04,3.299346923828125333e-02,1.259673932276734591e-09
1.000000000000000000e+05,3.644134521484375389e-02,1.509522177956321015e-09
1.100000000000000000e+05,3.926834106445312861e-02,1.731599343789590306e-09
1.200000000000000000e+05,4.246047973632812583e-02,2.001146929604666433e-09
1.300000000000000000e+05,4.554046630859374944e-02,2.289428035769842579e-09
1.400000000000000000e+05,4.858093261718750278e-02,2.585166128058182349e-09
1.500000000000000000e+05,5.149063110351562167e-02,2.886082193125849423e-09
1.600000000000000000e+05,5.424682617187499833e-02,3.167437191667228089e-09
1.700000000000000000e+05,5.730209350585938055e-02,3.510211064265324348e-09
1.800000000000000000e+05,5.947692871093749473e-02,3.750195907334149826e-09
1.900000000000000000e+05,6.191650390625000333e-02,4.037880777310925039e-09
2.000000000000000000e+05,6.462661743164063721e-02,4.330876350402832321e-09
2.200000000000000000e+05,6.983047485351563666e-02,4.981883002109214910e-09
2.400000000000000000e+05,7.465057373046875278e-02,5.585621249291205039e-09
2.600000000000000000e+05,7.879165649414063277e-02,6.118493155827598055e-09
2.800000000000000000e+05,8.367980957031248557e-02,6.801892518997192841e-09
3.000000000000000000e+05,8.745269775390623890e-02,7.309049753042367426e-09
4.000000000000000000e+05,1.056872558593749956e-01,9.960936410086496693e-09
5.000000000000000000e+05,1.211836242675781300e-01,1.222415644327799472e-08
6.000000000000000000e+05,1.342637634277343839e-01,1.407484889030456652e-08
7.000000000000000000e+05,1.446659851074218739e-01,1.539164083144243981e-08
8.000000000000000000e+05,1.530383300781250067e-01,1.633646519978841140e-08
9.000000000000000000e+05,1.604754638671874734e-01,1.711223963687294388e-08
1.000000000000000000e+06,1.691990661621093628e-01,1.806618824005126954e-08
1.100000000000000000e+06,1.741966247558593972e-01,1.826977121262323342e-08
1.200000000000000000e+06,1.799833679199218661e-01,1.862703514099121144e-08
1.300000000000000000e+06,1.838294982910156361e-01,1.868255167422087350e-08
1.400000000000000000e+06,1.878056335449218572e-01,1.865700260798136357e-08
1.500000000000000000e+06,1.920190429687499978e-01,1.876805969238281192e-08
1.600000000000000000e+06,1.950662231445312589e-01,1.861659856942983810e-08
1.700000000000000000e+06,1.980599975585937700e-01,1.848518823694299808e-08
1.800000000000000000e+06,2.002436828613281261e-01,1.827174963269915042e-08
1.900000000000000000e+06,2.034973144531250222e-01,1.820390425057246739e-08
2.000000000000000000e+06,2.055679321289062278e-01,1.799782613118489694e-08
2.200000000000000000e+06,2.112910461425781261e-01,1.781316268444061291e-08
2.400000000000000000e+06,2.147644042968749889e-01,1.735722732543945254e-08
2.600000000000000000e+06,2.166949462890624956e-01,1.669641685485839978e-08
2.800000000000000000e+06,2.206211853027343628e-01,1.636394390306974713e-08
3.000000000000000000e+06,2.220413208007812611e-01,1.582606086730957085e-08
4.000000000000000000e+06,2.326617431640625178e-01,1.385080856323242193e-08
5.000000000000000000e+06,2.375996398925781239e-01,1.206138197580973225e-08
6.000000000000000000e+06,2.410200500488281217e-01,1.064967591421944681e-08
7.000000000000000000e+06,2.450149536132812389e-01,9.618425941467284356e-09
8.000000000000000000e+06,2.460824584960937533e-01,8.622502814398871079e-09
9.000000000000000000e+06,2.483546447753905984e-01,7.924072608947753636e-09
1.000000000000000000e+07,2.508845520019531428e-01,7.356075598976828805e-09
