# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,4.719848632812500763e-03,2.968300582051169562e-09
2.000000000000000000e+04,8.933868408203125139e-03,5.011060024391359544e-09
3.000000000000000000e+04,1.293106079101562743e-02,6.493911445627593605e-09
4.000000000000000000e+04,1.684692382812500236e-02,8.148542776909093277e-09
5.000000000000000000e+04,2.075012207031250167e-02,9.826188974267389338e-09
6.000000000000000000e+04,2.462173461914062694e-02,1.148646601943027480e-08
7.000000000000000000e+04,2.823257446289062500e-02,1.289593938592451008e-08
8.000000000000000000e+04,3.207962036132812333e-02,1.463299103017804006e-08
9.000000000000000000e+04,3.547607421874999362e-02,1.589461573799353974e-08
1.000000000000000000e+05,3.898803710937499833e-02,1.738533945226954174e-08
2.000000000000000000e+05,7.034011840820311723e-02,2.861379621629724003e-08
3.000000000000000000e+05,9.685211181640625278e-02,3.620040270845581168e-08
4.000000000000000000e+05,1.195730590820312522e-01,4.178480383266815522e-08
5.000000000000000000e+05,1.378479003906250000e-01,4.477466783591823252e-08
6.000000000000000000e+05,1.535977172851562544e-01,4.646064389941511604e-08
7.000000000000000000e+05,1.673838806152343761e-01,4.773988007287640277e-08
8.000000000000000000e+05,1.798228454589843595e-01,4.833615126117689380e-08
9.000000000000000000e+05,1.912373352050781294e-01,4.884663685755085019e-08
1.000000000000000000e+06,2.006176757812499767e-01,4.868086028520416522e-08
1.100000000000000000e+06,2.088899230957031450e-01,4.807939042620667856e-08
1.200000000000000000e+06,2.154316711425781350e-01,4.729708767367124454e-08
1.300000000000000000e+06,2.230212402343750011e-01,4.671561477010252541e-08
1.400000000000000000e+06,2.287988281250000200e-01,4.583062304299804352e-08
1.500000000000000000e+06,2.346504211425781139e-01,4.523740346599859990e-08
1.600000000000000000e+06,2.391786193847656172e-01,4.429809114342021080e-08
1.700000000000000000e+06,2.442010498046874867e-01,4.345650753276441575e-08
1.800000000000000000e+06,2.480824279785156239e-01,4.252430672647293709e-08
1.900000000000000000e+06,2.511901855468750000e-01,4.146547363697830839e-08
2.000000000000000000e+06,2.545678710937500089e-01,4.069932085212179757e-08
2.200000000000000000e+06,2.623315429687499978e-01,3.928171314332197009e-08
2.400000000000000000e+06,2.673428344726562766e-01,3.752625745569350881e-08
2.600000000000000000e+06,2.711625671386718728e-01,3.574876041218236641e-08
3.000000000000000000e+06,2.803327941894531161e-01,3.317763850235129723e-08
4.000000000000000000e+06,2.931079101562499845e-01,2.751848295802574594e-08
5.000000000000000000e+06,3.026983642578124911e-01,2.358984605107375938e-08
6.000000000000000000e+06,3.100749206542968706e-01,2.064134323692049482e-08
7.000000000000000000e+06,3.143193054199218128e-01,1.823794300571587027e-08
8.000000000000000000e+06,3.171644592285156605e-01,1.628105603791181497e-08
9.000000000000000000e+06,3.219111633300781317e-01,1.490530344334247827e-08
1.000000000000000000e+07,3.226402282714843639e-01,1.350707922332772268e-08
