# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,4.132080078125000173e-03,2.404239556513098365e-09
2.000000000000000000e+04,8.213500976562501318e-03,4.331105161050541191e-09
3.000000000000000000e+04,1.225067138671875194e-02,5.878659432055389335e-09
4.000000000000000000e+04,1.609619140625000167e-02,7.582036248654331468e-09
5.000000000000000000e+04,1.996765136718750208e-02,9.189254081129315634e-09
6.000000000000000000e+04,2.364166259765625167e-02,1.081555460403785007e-08
7.000000000000000000e+04,2.738296508789062750e-02,1.222625160007479919e-08
8.000000000000000000e+04,3.095993041992187514e-02,1.353278887083979893e-08
9.000000000000000000e+04,3.412185668945312556e-02,1.459016907054982538e-08
1.000000000000000000e+05,3.751052856445312444e-02,1.588287873835128948e-08
2.000000000000000000e+05,6.908935546874998834e-02,2.696862278628060109e-08
3.000000000000000000e+05,9.550354003906250111e-02,3.417417960413439081e-08
4.000000000000000000e+05,1.188026428222656306e-01,3.966904545781848946e-08
5.000000000000000000e+05,1.388514709472656317e-01,4.325446137315733688e-08
6.000000000000000000e+05,1.563610839843749822e-01,4.572808337311625392e-08
7.000000000000000000e+05,1.715644836425781194e-01,4.720344285093404137e-08
8.000000000000000000e+05,1.849273681640624944e-01,4.808854481638196312e-08
9.000000000000000000e+05,1.958230590820312367e-01,4.791377190353468819e-08
1.000000000000000000e+06,2.068540954589843661e-01,4.833513423627690123e-08
1.100000000000000000e+06,2.167301940917968905e-01,4.815858277586668865e-08
1.200000000000000000e+06,2.248173522949218628e-01,4.756569427152837455e-08
1.300000000000000000e+06,2.321884155273437611e-01,4.688762109812649484e-08
1.400000000000000000e+06,2.405648803710937478e-01,4.665694964043915547e-08
1.500000000000000000e+06,2.479342651367187345e-01,4.628472815637263822e-08
1.600000000000000000e+06,2.542814636230468772e-01,4.571783045612586391e-08
1.700000000000000000e+06,2.583105468749999911e-01,4.435414341831752163e-08
1.800000000000000000e+06,2.633488464355469016e-01,4.368428600825527686e-08
1.900000000000000000e+06,2.687770080566406206e-01,4.316103360144768117e-08
2.000000000000000000e+06,2.726792907714843950e-01,4.221635595938793990e-08
2.200000000000000000e+06,2.801181030273437456e-01,4.061037679886104378e-08
2.400000000000000000e+06,2.878608703613281250e-01,3.926936913453816810e-08
2.600000000000000000e+06,2.948239135742187766e-01,3.806156249763747436e-08
3.000000000000000000e+06,3.048814392089843617e-01,3.531966507105727999e-08
4.000000000000000000e+06,3.239915466308593839e-01,3.000593608295811926e-08
5.000000000000000000e+06,3.362318420410156383e-01,2.584566354729795803e-08
6.000000000000000000e+06,3.465580749511718572e-01,2.285287457100935038e-08
7.000000000000000000e+06,3.522764587402343883e-01,2.026980121415995402e-08
8.000000000000000000e+06,3.576423645019531361e-01,1.829349770759074060e-08
9.000000000000000000e+06,3.610151672363280939e-01,1.659921745665433313e-08
1.000000000000000000e+07,3.640933227539062678e-01,1.525021843042249297e-08
