# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,3.183898925781249948e-03,1.310827779526734968e-09
2.000000000000000000e+04,5.830993652343751527e-03,2.072459548409298138e-09
3.000000000000000000e+04,8.540039062500000971e-03,2.893453152798552544e-09
4.000000000000000000e+04,1.128204345703125167e-02,3.740598623706282143e-09
5.000000000000000000e+04,1.371688842773437916e-02,4.375149008250305039e-09
6.000000000000000000e+04,1.644073486328125402e-02,5.251682491489725330e-09
7.000000000000000000e+04,1.878829956054687764e-02,5.881944824407083911e-09
8.000000000000000000e+04,2.106521606445312805e-02,6.442394788973828846e-09
9.000000000000000000e+04,2.345794677734375222e-02,7.117433938234020339e-09
1.000000000000000000e+05,2.596878051757812653e-02,7.822046260738564111e-09
2.000000000000000000e+05,4.636734008789063222e-02,1.250951424991410129e-08
3.000000000000000000e+05,6.431365966796875888e-02,1.606368241630600838e-08
4.000000000000000000e+05,7.965026855468750056e-02,1.846788939241030502e-08
5.000000000000000000e+05,9.338348388671874334e-02,2.028645539876888729e-08
6.000000000000000000e+05,1.051936340332031289e-01,2.163423556464482760e-08
7.000000000000000000e+05,1.158172607421875111e-01,2.249675915641549176e-08
8.000000000000000000e+05,1.250347900390625100e-01,2.309067986925514616e-08
9.000000000000000000e+05,1.333836364746093794e-01,2.337306880056699824e-08
1.000000000000000000e+06,1.424243164062500011e-01,2.388710532432045623e-08
2.000000000000000000e+06,1.896327209472656317e-01,2.139609163502303019e-08
3.000000000000000000e+06,2.133093261718750078e-01,1.808642509301780697e-08
4.000000000000000000e+06,2.233006286621093961e-01,1.502317615677309779e-08
5.000000000000000000e+06,2.329747009277343683e-01,1.310455846002092544e-08
6.000000000000000000e+06,2.434497070312500178e-01,1.191657198342778152e-08
7.000000000000000000e+06,2.511614990234374845e-01,1.081502171375108346e-08
8.000000000000000000e+06,2.516050720214844105e-01,9.573651023065960983e-09
9.000000000000000000e+06,2.557273864746093528e-01,8.752739209290371789e-09
1.000000000000000000e+07,2.551734924316406694e-01,7.885761197202688831e-09
