# R load [Ohms], Mean absolute voltage [V], Mean instant power [W]
1.000000000000000000e+04,7.415313720703125416e-03,6.188458735399906671e-11
2.000000000000000000e+04,8.530120849609374584e-03,8.730757470224419838e-11
3.000000000000000000e+04,8.994140625000000833e-03,1.066115296002730714e-10
4.000000000000000000e+04,9.039306640625003123e-03,1.131123762864332971e-10
5.000000000000000000e+04,1.070175170898437708e-02,1.559669857933407991e-10
6.000000000000000000e+04,1.097686767578125167e-02,1.629228411980394947e-10
